1	FAMOUS_BOOKS	Don Quixote	Miguel de Cervantes
2	FAMOUS_BOOKS	War and Peace	Leo Tolstoy
3	FAMOUS_BOOKS	Ulysses	James Joyce
4	FAMOUS_BOOKS	In Search of Lost Time	Marcel Proust
5	FAMOUS_BOOKS	The Brothers Karamazov	Feodor Dostoevsky
6	FAMOUS_BOOKS	Moby-Dick	Herman Melville
7	FAMOUS_BOOKS	Madame Bovary	Gustave Flaubert
8	FAMOUS_BOOKS	Middlemarch	George Eliot
9	FAMOUS_BOOKS	The Magic Mountain	Thomas Mann
10	FAMOUS_BOOKS	The Tale of Genji	Murasaki Shikibu
11	FAMOUS_BOOKS	Emma	Jane Austen
12	FAMOUS_BOOKS	Bleak House	Charles Dickens
13	FAMOUS_BOOKS	Anna Karenina	Leo Tolstoy
14	FAMOUS_BOOKS	Adventures of Huckleberry Finn	Mark Twain
15	FAMOUS_BOOKS	Tom Jones	Henry Fielding
16	FAMOUS_BOOKS	Great Expectations	Charles Dickens
17	FAMOUS_BOOKS	"""Absalom, Absalom!"""	William Faulkner
18	FAMOUS_BOOKS	The Ambassadors	Henry James
19	FAMOUS_BOOKS	One�Hundred�Years�of�Solitude	Gabriel Garcia Marquez
20	FAMOUS_BOOKS	The Great Gatsby	F. Scott Fitzgerald
21	FAMOUS_BOOKS	To The Lighthouse	Virginia Woolf
22	FAMOUS_BOOKS	Crime and Punishment	Feodor Dostoevsky
23	FAMOUS_BOOKS	The Sound and the Fury	William Faulkner
24	FAMOUS_BOOKS	Vanity Fair	William Makepeace Thackeray
25	FAMOUS_BOOKS	Invisible Man	Ralph Ellison
26	FAMOUS_BOOKS	Finnegans Wake	James Joyce
27	FAMOUS_BOOKS	The Man Without Qualities	Robert Musil
28	FAMOUS_BOOKS	Gravity's Rainbow	Thomas Pynchon
29	FAMOUS_BOOKS	The Portrait of a Lady	Henry James
30	FAMOUS_BOOKS	Women in Love	D. H. Lawrence
31	FAMOUS_BOOKS	The Red and the Black	Stendhal
32	FAMOUS_BOOKS	Tristram Shandy	Laurence Sterne
33	FAMOUS_BOOKS	Dead Souls	Nikolai Gogol
34	FAMOUS_BOOKS	Tess of the D'Urbervilles	Thomas Hardy
35	FAMOUS_BOOKS	Buddenbrooks	Thomas Mann
36	FAMOUS_BOOKS	Le Pere Goriot	Honore de Balzac
37	FAMOUS_BOOKS	A Portrait of the Artist as a Young Man	James Joyce
38	FAMOUS_BOOKS	Wuthering Heights	Emily Bronte
39	FAMOUS_BOOKS	The Tin Drum	Gunter Grass
40	FAMOUS_BOOKS	Molloy; Malone Dies; The Unnamable	Samuel Beckett
41	FAMOUS_BOOKS	Pride and Prejudice	Jane Austen
42	FAMOUS_BOOKS	The Scarlet Letter	Nathaniel Hawthorne
43	FAMOUS_BOOKS	Fathers and Sons	Ivan Turgenev
44	FAMOUS_BOOKS	Nostromo	Joseph Conrad
45	FAMOUS_BOOKS	Beloved	Toni Morrison
46	FAMOUS_BOOKS	An American Tragedy	Theodore Dreiser
47	FAMOUS_BOOKS	Lolita	Vladimir Nabokov
48	FAMOUS_BOOKS	The Golden Notebook	Doris Lessing
